ID,POSTAL_CODE,BEDROOMS,LIVING_AREA,LAND,PRICE,POSTED,VIEWS,SAVES,TYPE,LOCATION,COMMUNE,G_LOCATION,G_LAT,G_LNG
6981487,1800,3,,240.0,220000,5/11/2017,1647.0,0.0,House,Marius  Duchstraat  100 1800     Vilvoorde ,Vilvoorde,"Marius Duchéstraat 100, 1800 Vilvoorde, Belgium",50.9338363,4.4194829
6980109,1800,5,350.0,966.0,695000,5/11/2017,743.0,8.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
6978495,1800,3,85.0,130.0,295000,5/10/2017,973.0,3.0,House,Den  Haeckstraat  22 1800    Vilvoorde ,Vilvoorde,"Den Haeckstraat 22, 1800 Vilvoorde, Belgium",50.9349154,4.4264266
6977696,1800,3,137.0,,252000,5/9/2017,331.0,1.0,House,Nijverheidstraat  230 1800    Vilvoorde ,Vilvoorde,"Nijverheidsstraat 230, 1800 Vilvoorde, Belgium",50.9350999,4.4391306
6977344,1800,4,162.0,340.0,279000,5/9/2017,2735.0,27.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
6977342,1800,3,112.0,,344000,5/9/2017,322.0,2.0,Apartment,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
6975430,1800,4,200.0,139.0,349000,5/8/2017,1021.0,2.0,House,Meeuwenlaan  128 1800    Vilvoorde ,Vilvoorde,"Meeuwenlaan 128, 1800 Vilvoorde, Belgium",50.9108999,4.3669922
6973690,1800,3,250.0,1235.0,385000,5/7/2017,674.0,5.0,House,Groene  Grachtstraat   1800    Peutie ,Vilvoorde,"Groene Grachtstraat, 1800 Vilvoorde, Belgium",50.9307902,4.460981
6973580,1800,4,200.0,95.0,299000,5/7/2017,1725.0,4.0,House,Schaarbeeklei  96 1800    Vilvoorde ,Vilvoorde,"Schaarbeeklei 96, 1800 Vilvoorde, Belgium",50.9229171,4.4267789
6972662,1800,5,125.0,50.0,274000,5/6/2017,734.0,3.0,House,Gendarmeriestraat  10 1800    Vilvoorde ,Vilvoorde,"Gendarmeriestraat 10, 1800 Vilvoorde, Belgium",50.9281272,4.4192958
6971309,1800,3,160.0,170.0,295000,5/5/2017,674.0,7.0,House,  Campionlei  14 1800    Vilvoorde ,Vilvoorde,"Ferdinand Campionlei 14, 1800 Vilvoorde, Belgium",50.928316,4.4315217
6970448,1800,3,134.0,,269000,5/4/2017,327.0,2.0,House,Nijverheidstraat  230 1800     Vilvoorde ,Vilvoorde,"Nijverheidsstraat 230, 1800 Vilvoorde, Belgium",50.9350999,4.4391306
6966032,1800,4,,280.0,295000,5/3/2017,1538.0,24.0,House,Devoerlaan  62 1800    Vilvoorde  Koningslo ,Vilvoorde,"Devoerlaan 62, 1800 Vilvoorde, Belgium",50.914971,4.3717213
6964072,1800,3,135.0,90.0,240000,5/2/2017,2224.0,15.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
6960283,1800,3,185.0,190.0,330000,4/28/2017,1458.0,11.0,House,Dahliastraat   1800    Vilvoorde ,Vilvoorde,"Dahliastraat, 1800 Vilvoorde, Belgium",50.92855,4.44559
6957779,1800,3,95.0,,244000,4/27/2017,228.0,2.0,Apartment,Leuvensesteenweg  10223 1800    Vilvoorde ,Vilvoorde,"Leuvensesteenweg, 1800 Vilvoorde, Belgium",50.9267973,4.4444847
6957536,1800,3,147.0,75.0,255000,4/26/2017,1975.0,25.0,House,Drenkplaatsstraat  11 1800    Vilvoorde ,Vilvoorde,"Drenkplaatsstraat 11, 1800 Vilvoorde, Belgium",50.9314242,4.4226697
6955841,1800,4,219.0,160.0,295000,4/25/2017,2506.0,19.0,House,Keelstraat  27 1800    Vilvoorde ,Vilvoorde,"Keelstraat 27, 1800 Vilvoorde, Belgium",50.9117882,4.3714382
6954917,1800,4,130.0,,249000,4/25/2017,3922.0,35.0,House,1800     Vilvoorde ,Vilvoorde,"Vilvoorde, Belgium",50.9272511,4.4257868
6951948,1800,4,143.0,170.0,265000,4/22/2017,6036.0,75.0,House,Mechelsesteenweg  57 1800    Vilvoorde ,Vilvoorde,"Mechelsesteenweg 57, 1800 Vilvoorde, Belgium",50.9336657,4.4257454
6949873,1800,4,202.0,135.0,328000,4/21/2017,1950.0,2.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
6949872,1800,3,180.0,110.0,239000,4/21/2017,3656.0,15.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
6949870,1800,3,150.0,110.0,225000,4/21/2017,3425.0,28.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
6949867,1800,3,125.0,54.0,189000,4/21/2017,6251.0,47.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
6949866,1800,5,380.0,130.0,399000,4/21/2017,832.0,20.0,Apartment,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
6946055,1800,3,87.0,,219000,4/19/2017,698.0,11.0,Apartment,Amazonenlaan   1800    Vilvoorde  Koningslo ,Vilvoorde,"Amazonenlaan, 1800 Vilvoorde, Belgium",50.9059383,4.3652945
6946054,1800,3,142.0,331.0,289000,4/19/2017,3302.0,23.0,House,Klein  steenstraat  14 1800    Vilvoorde ,Vilvoorde,"KL. Steenstr 14, 1800 Vilvoorde, Belgium",50.9277214,4.4476187
6944828,1800,3,90.0,,230000,4/18/2017,372.0,4.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
6942301,1800,3,130.0,758.0,319000,4/15/2017,4736.0,56.0,House,Eksterstraat  44 1800    Vilvoorde  Koningslo ,Vilvoorde,"Eksterstraat 44, 1800 Vilvoorde, Belgium",50.915656,4.3737953
6942300,1800,3,210.0,135.0,315000,4/15/2017,1377.0,6.0,Building,Hendrik    lei  79 1800     Vilvoorde ,Vilvoorde,"Hendrik I lei 79, 1800 Vilvoorde, Belgium",50.9326806,4.4294433
6940690,1800,3,125.0,150.0,225000,4/13/2017,6538.0,37.0,House,1800    Vilvoorde ,Vilvoorde,"Vilvoorde, Belgium",50.9272511,4.4257868
6940650,1800,3,264.0,120.0,260000,4/13/2017,4378.0,15.0,House,Leuvensesteenweg  213 1800    Vilvoorde ,Vilvoorde,"Leuvensesteenweg 213, 1800 Vilvoorde, Belgium",50.9265392,4.4456176
6935584,1800,3,140.0,120.0,295000,4/10/2017,695.0,0.0,House,AARSCHOTSESTRAAT  46 1800    Vilvoorde ,Vilvoorde,"Aarschotsestraat 46, 1800 Vilvoorde, Belgium",50.9249972,4.4526611
6934124,1800,3,167.0,,320000,4/10/2017,377.0,3.0,House,Leuvensestraat  51 1800    Vilvoorde ,Vilvoorde,"Leuvensestraat 51, 1800 Vilvoorde, Belgium",50.9281689,4.4271777
6932731,1800,4,150.0,240.0,290000,4/7/2017,3146.0,17.0,House,vlierkensstraat  114 1800    Vilvoorde ,Vilvoorde,"Vlierkensstraat 114, 1800 Vilvoorde, Belgium",50.9228259,4.4088573
6932243,1800,3,195.0,160.0,299000,4/7/2017,2937.0,35.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
