ID,POSTAL_CODE,BEDROOMS,LIVING_AREA,LAND,PRICE,POSTED,VIEWS,SAVES,TYPE,LOCATION,COMMUNE
6628374,"1120",2,90,,154000,10/1/2016,13,0,"House",,"Neder-Over-Heembeek"
6623310,"1120",2,100,,197500,9/28/2016,,,"Apartment","Avenue  des  Croix  de  Guerre  190  box11 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6619809,"1120",3,120,,229000,9/26/2016,,,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6616583,"1120",2,88,,215000,9/23/2016,95,0,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6616580,"1120",2,105,,172000,9/23/2016,167,1,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6612944,"1120",2,92,,195000,9/21/2016,147,4,"Apartment","1120    NEDEROVERHEMBEEK ","Neder-Over-Heembeek"
6609152,"1120",3,150,,300000,9/19/2016,560,3,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6606190,"1120",2,120,,195000,9/17/2016,383,2,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6604714,"1120",4,228,154,310000,9/16/2016,,,"House","1120    Brussel  12 ","Neder-Over-Heembeek"
6602388,"1120",4,300,127,550000,9/16/2016,,,"Building","Rue  des  Pr  Communs   1120     NederoverHeembeek ","Neder-Over-Heembeek"
6600495,"1120",2,92,,165000,9/15/2016,,,"Apartment","rue  Franois  Vekemans  91 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6599477,"1120",3,130,,239000,9/14/2016,,,"Apartment","Avenue  des  Croix  de  Guerre  343 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6599331,"1120",2,,,297500,9/14/2016,,,"Apartment","Oorlogskruisenlaan  335 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6597320,"1120",3,141,,249000,9/13/2016,90,1,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6590440,"1120",2,86,,220000,9/8/2016,,,"Apartment","Rue  Lombartzijde  213 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6581371,"1120",4,150,59,269000,9/3/2016,,,"House","Rue  de  beyseghem  78  box1 1120     NederoverHeembeek ","Neder-Over-Heembeek"
6579728,"1120",2,90,,220000,9/2/2016,,,"Apartment","1120    NEDEROVERHEEMBEEK  BRU ","Neder-Over-Heembeek"
6577519,"1120",4,148,,298000,9/1/2016,,,"House","1120     NederoverHeembeek ","Neder-Over-Heembeek"
6574964,"1120",3,188,313,329000,8/30/2016,,,"House","rue  du  ramier  33 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6569344,"1120",4,160,,325000,8/26/2016,,,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6563990,"1120",3,110,,255000,8/22/2016,,,"Apartment","Rue  Franois  Vekemans  117  box1 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6562502,"1120",2,80,,173000,8/21/2016,,,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6562329,"1120",4,160,105,365000,8/21/2016,,,"House","Avenue  du  Roi  Albert  178 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6560504,"1120",2,90,,164000,8/20/2016,83,5,"Apartment","Oorlogskruisenlaan  212 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6558212,"1120",2,105,,184000,8/18/2016,,,"Apartment","Avenue  des  Croix  de  Guerre  343 1120     NederoverHeembeek ","Neder-Over-Heembeek"
6555576,"1120",3,100,,225000,8/17/2016,,,"House","Frans  Vekemansstraat  91 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6543525,"1120",4,290,101,405000,8/8/2016,,,"Apartment",,"Neder-Over-Heembeek"
6538292,"1120",3,95,,220000,8/5/2016,1348,5,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6537684,"1120",3,94,,244900,8/4/2016,,,"Apartment","Rue  de  Beyseghem  15226 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6537674,"1120",2,86,,219900,8/4/2016,,,"Apartment","Rue  de  Beyseghem  148104 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6537673,"1120",2,88,,199900,8/4/2016,,,"Apartment","Rue   de  Beyseghem  148103 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6535017,"1120",2,95,,190000,8/2/2016,,,"Apartment","Oorlogskruisenlaan    Avenue  des  Croix  de  Guerre  193  10 1120    NederoverHeembeek ","Neder-Over-Heembeek"
