ID,POSTAL_CODE,BEDROOMS,LIVING_AREA,LAND,PRICE,POSTED,VIEWS,SAVES,TYPE,LOCATION,COMMUNE,G_LOCATION,G_LAT,G_LNG
6595650,1020,3,150.0,,350000,9/12/2016,,,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6595166,1020,5,211.0,,365000,9/12/2016,,,House,1020    BRUXELLES ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6594088,1020,4,169.0,170.0,360000,9/11/2016,,,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6589183,1020,3,130.0,162.0,235000,9/8/2016,,,House,Waterkersstraat  18 1020    Laeken ,Laeken,"Waterkersstraat 18, 1020 Brussel, Belgium",50.8995931,4.3290507
6587449,1020,3,100.0,230.0,289000,9/7/2016,183.0,6.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6578252,1020,3,165.0,,439000,9/1/2016,,,House,Avenue  Hulderghem  30 1020    Laeken ,Laeken,"Avenue Huldergem 30, 1020 Bruxelles, Belgium",50.8993635,4.3671772
6568608,1020,3,265.0,,325000,8/25/2016,570.0,8.0,Apartment,ReperVrevenstraat  77 1020    Laeken ,Laeken,"Reper-Vrevenstraat 77, 1020 Brussel, Belgium",50.8906438,4.3399889
6568371,1020,4,,190.0,215000,8/25/2016,,,House,Rue  Pierre  Strauwen  14 1020    Laeken ,Laeken,"Pierre Strauwenstraat 14, 1020 Brussel, Belgium",50.8847962,4.3427091
6563916,1020,4,160.0,,220000,8/22/2016,2260.0,24.0,Apartment,Avenue  de  Araucaria  36 1020    Laeken ,Laeken,"Araucarialaan 36, 1020 Brussel, Belgium",50.8949952,4.3633564
6559990,1020,3,96.0,,219000,8/19/2016,124.0,2.0,Apartment,Avenue  de  la  nivole   1020    Laeken ,Laeken,"Lenteklokjeslaan, 1020 Brussel, Belgium",50.8979549,4.3674051
6559511,1020,3,131.0,190.0,190000,8/19/2016,613.0,3.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6554506,1020,4,,,295000,8/16/2016,,,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6552874,1020,5,302.0,,570000,8/14/2016,101.0,0.0,Building,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6542968,1020,3,125.0,85.0,269000,8/8/2016,,,House,rue  Alfred  Stevens  23 1020    Laeken ,Laeken,"Rue Alfred Stevens 23, 1020 Bruxelles, Belgium",50.8823204,4.3433911
6542667,1020,3,,,245000,8/8/2016,165.0,1.0,House,Rue  du  Tivoli  52 1020    Laeken ,Laeken,"Rue du Tivoli 52, 1020 Bruxelles, Belgium",50.8734326,4.3533243
6539439,1020,3,200.0,970.0,485000,8/5/2016,230.0,4.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6538472,1020,3,170.0,,299000,8/5/2016,247.0,6.0,House,Rue  champ  de   la  couronne  133 1020    Laeken ,Laeken,"Rue du Champ de la Couronne 133, 1020 Bruxelles, Belgium",50.8810567,4.3449348
6537682,1020,3,94.0,,244900,8/4/2016,,,Apartment,Rue  de  Beyseghem  15216 1020    LAEKEN  BRU ,Laeken,"Beizegemstraat, 1120 Brussel, Belgium",50.8956,4.3754626
6520625,1020,3,210.0,,215000,7/23/2016,432.0,9.0,Apartment,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6516128,1020,4,140.0,,269500,7/19/2016,3517.0,21.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6509831,1020,3,150.0,,269500,7/14/2016,,,Apartment,Avenue  Richard  Neybergh  192 1020    Laeken ,Laeken,"Avenue Richard Neybergh 192, 1020 Bruxelles, Belgium",50.8733265,4.3421565
6508729,1020,4,180.0,130.0,375000,7/14/2016,,,House,Rue  du  Cloitre   1020    Laeken ,Laeken,"Kloosterstraat, 1020 Brussel, Belgium",50.8883798,4.3420241
6507516,1020,3,85.0,,115000,7/13/2016,,,Apartment,1020    Bruxelles   ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6504281,1020,4,140.0,,295000,7/11/2016,,,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6497610,1020,3,132.0,,229900,7/7/2016,103.0,2.0,Apartment,Avenue  Emile  Van  Ermengem   1020    Laeken ,Laeken,"Emile Van Ermengemlaan, 1020 Brussel, Belgium",50.89232,4.32948
6494801,1020,4,255.0,95.0,310000,7/5/2016,,,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6492468,1020,3,150.0,120.0,320000,7/4/2016,,,Apartment,Rue  dori   1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6485967,1020,3,130.0,,269000,6/30/2016,233.0,14.0,Apartment,Avenue  Richard  Neybergh  183 1020    LAEKEN  BRU ,Laeken,"Avenue Richard Neybergh 183, 1020 Bruxelles, Belgium",50.8739605,4.3420701
6485465,1020,3,96.0,,142500,6/29/2016,38.0,0.0,Apartment,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6485434,1020,3,135.0,,229900,6/29/2016,320.0,5.0,Apartment,1020    LAEKEN  BRU ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6483579,1020,5,319.0,,275000,6/28/2016,,,House,Avenue  Adrien  Bayet  19 1020    Laeken ,Laeken,"Avenue Adrien Bayet 19, 1020 Bruxelles, Belgium",50.8913408,4.3323078
6472074,1020,3,138.0,,239000,6/23/2016,158.0,3.0,Apartment,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6472042,1020,3,,63.0,239000,6/23/2016,499.0,3.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6469802,1020,4,230.0,124.0,450000,6/22/2016,,,Apartment,1020    Bruxelles2 ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6468720,1020,4,,,420000,6/22/2016,,,Apartment,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
